i,r,v,p,ni,nr,nv,np
8,93,744,5952,-0.672891019,1.424232726,0.169229157,-0.384123484
24,5,120,2880,1.675256484,-1.59433593,-0.959924282,-0.636883938
5,29,145,725,-1.113168675,-0.771089933,-0.914685762,-0.814194737
10,33,330,3300,-0.379372581,-0.633882267,-0.57992072,-0.602326844
12,59,708,8496,-0.085854143,0.257967563,0.10408569,-0.174806233
5,14,70,350,-1.113168675,-1.285618681,-1.05040132,-0.845049285
2,100,200,400,-1.553446332,1.664346142,-0.81516102,-0.840935345
19,17,323,6137,0.941460389,-1.182712932,-0.592587506,-0.368901907
14,41,574,8036,0.207664295,-0.359466934,-0.138392773,-0.212654478
18,65,1170,21060,0.79470117,0.463779063,0.940093524,0.858944528
15,13,195,2925,0.354423514,-1.319920598,-0.824208724,-0.633181392
4,56,224,896,-1.259927894,0.155061814,-0.771732042,-0.800125064
10,74,740,7400,-0.379372581,0.772496312,0.161990994,-0.264983791
11,70,770,8470,-0.232613362,0.635288645,0.216277217,-0.176945482
23,39,897,20631,1.528497265,-0.428070768,0.446088895,0.823646925
12,29,348,4176,-0.085854143,-0.771089933,-0.547348987,-0.530250621
6,36,216,1296,-0.966409456,-0.530976517,-0.786208368,-0.767213546
8,99,792,6336,-0.672891019,1.630044225,0.256087114,-0.352528427
2,18,36,72,-1.553446332,-1.148411015,-1.111925706,-0.86792279
3,5,15,45,-1.406687113,-1.59433593,-1.149926062,-0.870144317
13,92,1196,15548,0.060905076,1.38993081,0.987141584,0.405423818
7,56,392,2744,-0.819650238,0.155061814,-0.467729193,-0.648073853
4,58,232,928,-1.259927894,0.223665647,-0.757255716,-0.797492142
7,84,588,4116,-0.819650238,1.115515477,-0.113059202,-0.535187349
4,52,208,832,-1.259927894,0.017854148,-0.800684694,-0.805390907
11,59,649,7139,-0.232613362,0.257967563,-0.002677216,-0.286458556
10,65,650,6500,-0.379372581,0.463779063,-0.000867675,-0.339034705
1,45,45,45,-1.700205551,-0.222259268,-1.095639839,-0.870144317
3,37,111,333,-1.406687113,-0.496674601,-0.976210148,-0.846448024
9,95,855,7695,-0.5261318,1.492836559,0.370088183,-0.240711547
13,15,195,2535,0.060905076,-1.251316765,-0.824208724,-0.665270121
8,12,96,768,-0.672891019,-1.354222514,-1.00335326,-0.810656749
21,58,1218,25578,1.234978827,0.223665647,1.026951481,1.230680117
6,4,24,144,-0.966409456,-1.628637847,-1.133640195,-0.861998716
21,79,1659,34839,1.234978827,0.944005894,1.82495896,1.992664023
2,52,104,208,-1.553446332,0.017854148,-0.988876934,-0.856732874
8,44,352,2816,-0.672891019,-0.256561185,-0.540110824,-0.64214978
5,62,310,1550,-1.113168675,0.360873313,-0.616111536,-0.746314733
24,22,528,12672,1.675256484,-1.011203349,-0.221631648,0.168790008
14,84,1176,16464,0.207664295,1.115515477,0.950950769,0.480791193
18,54,972,17496,0.79470117,0.086457981,0.581804452,0.565702908
21,63,1323,27783,1.234978827,0.39517523,1.216953262,1.412104856
14,84,1176,16464,0.207664295,1.115515477,0.950950769,0.480791193
10,72,720,7200,-0.379372581,0.703892479,0.125800179,-0.28143955
15,4,60,900,0.354423514,-1.628637847,-1.068496728,-0.799795949
23,50,1150,26450,1.528497265,-0.050749686,0.903902709,1.302427224
1,100,100,100,-1.700205551,1.664346142,-0.996115097,-0.865618983
15,41,615,9225,0.354423514,-0.359466934,-0.064201602,-0.114824993
24,60,1440,34560,1.675256484,0.29226948,1.428669532,1.969708239
21,36,756,15876,1.234978827,-0.530976517,0.190943647,0.432411262
11,74,814,8954,-0.232613362,0.772496312,0.295897011,-0.137122546
14,99,1386,19404,0.207664295,1.630044225,1.33095433,0.722690846
24,78,1872,44928,1.675256484,0.909703978,2.210391143,2.82277477
23,19,437,10051,1.528497265,-1.114109099,-0.386299858,-0.04686271
13,87,1131,14703,0.060905076,1.218421227,0.869521434,0.335898238
4,1,4,16,-1.259927894,-1.731543597,-1.169831011,-0.872530402
3,98,294,882,-1.406687113,1.595742309,-0.645064188,-0.801276967
12,88,1056,12672,-0.085854143,1.252723143,0.733805877,0.168790008
1,83,83,83,-1.700205551,1.081213561,-1.02687729,-0.867017723
3,92,276,828,-1.406687113,1.38993081,-0.677635922,-0.805720022
14,58,812,11368,0.207664295,0.223665647,0.29227793,0.061498461
12,57,684,8208,-0.085854143,0.18936373,0.060656711,-0.198502526
24,7,168,4032,1.675256484,-1.525732097,-0.873066325,-0.542098767
11,70,770,8470,-0.232613362,0.635288645,0.216277217,-0.176945482
8,41,328,2624,-0.672891019,-0.359466934,-0.583539802,-0.657947309
11,25,275,3025,-0.232613362,-0.908297599,-0.679445463,-0.624953512
15,35,525,7875,0.354423514,-0.565278434,-0.227060271,-0.225901364
24,98,2352,56448,1.675256484,1.595742309,3.078970711,3.770626471
1,84,84,84,-1.700205551,1.115515477,-1.025067749,-0.866935444
22,73,1606,35332,1.381738046,0.738194395,1.729053299,2.033227468
14,23,322,4508,0.207664295,-0.976901432,-0.594397047,-0.502934062
7,85,595,4165,-0.819650238,1.149817394,-0.100392417,-0.531155688
10,1,10,100,-0.379372581,-1.731543597,-1.158973766,-0.865618983
10,26,260,2600,-0.379372581,-0.873995683,-0.706588574,-0.659922
14,30,420,5880,0.207664295,-0.736788017,-0.417062051,-0.390047557
23,71,1633,37559,1.528497265,0.669590562,1.7779109,2.216462341
13,15,195,2535,0.060905076,-1.251316765,-0.824208724,-0.665270121
14,47,658,9212,0.207664295,-0.153655435,0.013608651,-0.115894617
1,53,53,53,-1.700205551,0.052156064,-1.081163513,-0.869486087
16,27,432,6912,0.501182733,-0.839693766,-0.395347562,-0.305135842
18,64,1152,20736,0.79470117,0.429477146,0.90752179,0.832286199
20,45,900,18000,1.088219608,-0.222259268,0.451517517,0.60717142
23,88,2024,46552,1.528497265,1.252723143,2.48544134,2.956395531
16,33,528,8448,0.501182733,-0.633882267,-0.221631648,-0.178755616
17,3,51,867,0.647941951,-1.662939763,-1.084782595,-0.802511149
9,47,423,3807,-0.5261318,-0.153655435,-0.411633429,-0.560611496
9,82,738,6642,-0.5261318,1.046911644,0.158371913,-0.327351117
1,76,76,76,-1.700205551,0.841100145,-1.039544075,-0.867593674
14,57,798,11172,0.207664295,0.18936373,0.266944359,0.045371818
3,6,18,54,-1.406687113,-1.560034014,-1.14449744,-0.869403808
22,26,572,12584,1.381738046,-0.873995683,-0.142011855,0.161549474
17,9,153,2601,0.647941951,-1.457128264,-0.900209436,-0.659839721
13,62,806,10478,0.060905076,0.360873313,0.281420685,-0.011729665
16,50,800,12800,0.501182733,-0.050749686,0.27056344,0.179321694
12,90,1080,12960,-0.085854143,1.321326977,0.777234855,0.192486301
18,55,990,17820,0.79470117,0.120759897,0.614376186,0.592361237
23,21,483,11109,1.528497265,-1.045505266,-0.303060983,0.040188254
20,13,260,5200,1.088219608,-1.319920598,-0.706588574,-0.445997137
18,46,828,14904,0.79470117,-0.187957352,0.321230582,0.352436275
1,24,24,24,-1.700205551,-0.942599516,-1.133640195,-0.871872172
4,46,184,736,-1.259927894,-0.187957352,-0.844113672,-0.813289671
23,73,1679,38617,1.528497265,0.738194395,1.861149775,2.303513304
5,12,60,300,-1.113168675,-1.354222514,-1.068496728,-0.849163225
23,13,299,6877,1.528497265,-1.319920598,-0.636016484,-0.3080156
18,39,702,12636,0.79470117,-0.428070768,0.093228445,0.165827971
2,49,98,196,-1.553446332,-0.085051602,-0.999734178,-0.857720219
19,66,1254,23826,0.941460389,0.498080979,1.092094949,1.08652767
9,33,297,2673,-0.5261318,-0.633882267,-0.639635566,-0.653915648
11,28,308,3388,-0.232613362,-0.80539185,-0.619730617,-0.59508631
14,34,476,6664,0.207664295,-0.59958035,-0.315727768,-0.325540983
2,69,138,276,-1.553446332,0.600986729,-0.927352548,-0.851137916
20,62,1240,24800,1.088219608,0.360873313,1.066761378,1.166667215
10,14,140,1400,-0.379372581,-1.285618681,-0.923733466,-0.758656552
4,27,108,432,-1.259927894,-0.839693766,-0.981638771,-0.838302424
10,34,340,3400,-0.379372581,-0.59958035,-0.561825313,-0.594098965
16,92,1472,23552,0.501182733,1.38993081,1.486574836,1.063983281
1,83,83,83,-1.700205551,1.081213561,-1.02687729,-0.867017723
1,74,74,74,-1.700205551,0.772496312,-1.043163157,-0.867758232
1,37,37,37,-1.700205551,-0.496674601,-1.110116165,-0.870802547
22,45,990,21780,1.381738046,-0.222259268,0.614376186,0.918185259
12,7,84,1008,-0.085854143,-1.525732097,-1.025067749,-0.790909839
11,99,1089,11979,-0.232613362,1.630044225,0.793520722,0.111770804
17,85,1445,24565,0.647941951,1.149817394,1.437717235,1.147331699
10,90,900,9000,-0.379372581,1.321326977,0.451517517,-0.133337722
4,7,28,112,-1.259927894,-1.525732097,-1.126402032,-0.864631638
6,3,18,108,-0.966409456,-1.662939763,-1.14449744,-0.864960753
17,76,1292,21964,0.647941951,0.841100145,1.160857498,0.933324557
8,5,40,320,-0.672891019,-1.59433593,-1.104687543,-0.847517649
21,86,1806,37926,1.234978827,1.18411931,2.090961452,2.246658658
15,16,240,3600,0.354423514,-1.217014848,-0.742779389,-0.577643206
21,12,252,5292,1.234978827,-1.354222514,-0.7210649,-0.438427488
13,17,221,2873,0.060905076,-1.182712932,-0.777160664,-0.637459889
9,6,54,486,-0.5261318,-1.560034014,-1.079353972,-0.833859369
4,42,168,672,-1.259927894,-0.325165018,-0.873066325,-0.818555514
15,53,795,11925,0.354423514,0.052156064,0.261515736,0.107327749
22,89,1958,43076,1.381738046,1.28702506,2.366011649,2.670394445
16,17,272,4352,0.501182733,-1.182712932,-0.684874085,-0.515769554
19,56,1064,20216,0.941460389,0.155061814,0.748282203,0.789501226
13,93,1209,15717,0.060905076,1.424232726,1.010665614,0.419328934
10,15,150,1500,-0.379372581,-1.251316765,-0.905638059,-0.750428673
19,84,1596,30324,0.941460389,1.115515477,1.710957891,1.62117527
16,29,464,7424,0.501182733,-0.771089933,-0.337442258,-0.2630091
18,26,468,8424,0.79470117,-0.873995683,-0.330204094,-0.180730307
23,6,138,3174,1.528497265,-1.560034014,-0.927352548,-0.612693972
13,72,936,12168,0.060905076,0.703892479,0.516660985,0.127321496
10,18,180,1800,-0.379372581,-1.148411015,-0.851351836,-0.725745034
13,83,1079,14027,0.060905076,1.081213561,0.775425314,0.280277773
2,72,144,288,-1.553446332,0.703892479,-0.916495303,-0.85015057
1,90,90,90,-1.700205551,1.321326977,-1.014210505,-0.866441771
20,33,660,13200,1.088219608,-0.633882267,0.017227733,0.212233211
9,85,765,6885,-0.5261318,1.149817394,0.207229513,-0.30735737
11,12,132,1452,-0.232613362,-1.354222514,-0.938209792,-0.754378055
3,28,84,252,-1.406687113,-0.80539185,-1.025067749,-0.853112607
23,57,1311,30153,1.528497265,0.18936373,1.195238773,1.607105597
14,8,112,1568,0.207664295,-1.491430181,-0.974400608,-0.744833715
14,59,826,11564,0.207664295,0.257967563,0.3176115,0.077625105
11,63,693,7623,-0.232613362,0.39517523,0.076942578,-0.24663562
14,68,952,13328,0.207664295,0.566684812,0.545613637,0.222764897
23,15,345,7935,1.528497265,-1.251316765,-0.552777609,-0.220964637
18,84,1512,27216,0.79470117,1.115515477,1.558956467,1.36545278
14,54,756,10584,0.207664295,0.086457981,0.190943647,-0.003008113
4,50,200,800,-1.259927894,-0.050749686,-0.81516102,-0.808023828
5,56,280,1400,-1.113168675,0.155061814,-0.670397759,-0.758656552
16,15,240,3840,0.501182733,-1.251316765,-0.742779389,-0.557896296
14,17,238,3332,0.207664295,-1.182712932,-0.746398471,-0.599693923
7,86,602,4214,-0.819650238,1.18411931,-0.087725632,-0.527124027
17,55,935,15895,0.647941951,0.120759897,0.514851444,0.433974559
5,69,345,1725,-1.113168675,0.600986729,-0.552777609,-0.731915944
6,56,336,2016,-0.966409456,0.155061814,-0.569063476,-0.707972815
14,92,1288,18032,0.207664295,1.38993081,1.153619335,0.609804341
6,28,168,1008,-0.966409456,-0.80539185,-0.873066325,-0.790909839
17,63,1071,18207,0.647941951,0.39517523,0.760948988,0.62420313
15,56,840,12600,0.354423514,0.155061814,0.342945071,0.162865935
6,43,258,1548,-0.966409456,-0.290863101,-0.710207656,-0.74647929
22,76,1672,36784,1.381738046,0.841100145,1.84848299,2.152696276
24,45,1080,25920,1.675256484,-0.222259268,0.777234855,1.258819464
6,87,522,3132,-0.966409456,1.218421227,-0.232488893,-0.616149682
19,73,1387,26353,0.941460389,0.738194395,1.332763871,1.294446181
7,40,280,1960,-0.819650238,-0.393768851,-0.670397759,-0.712580428
10,55,550,5500,-0.379372581,0.120759897,-0.181821752,-0.421313499
2,58,116,232,-1.553446332,0.223665647,-0.967162445,-0.854758183
4,61,244,976,-1.259927894,0.326571397,-0.735541226,-0.79354276
17,50,850,14450,0.647941951,-0.050749686,0.361040479,0.315081703
4,40,160,640,-1.259927894,-0.393768851,-0.887542651,-0.821188435
21,96,2016,42336,1.234978827,1.527138476,2.470965014,2.609508137
23,63,1449,33327,1.528497265,0.39517523,1.444955398,1.868258487
17,92,1564,26588,0.647941951,1.38993081,1.653052587,1.313781698
17,60,1020,17340,0.647941951,0.29226948,0.668662409,0.552867416
7,50,350,2450,-0.819650238,-0.050749686,-0.543729905,-0.672263819
4,78,312,1248,-1.259927894,0.909703978,-0.612492454,-0.771162928
12,88,1056,12672,-0.085854143,1.252723143,0.733805877,0.168790008
12,55,660,7920,-0.085854143,0.120759897,0.017227733,-0.222198818
5,28,140,700,-1.113168675,-0.80539185,-0.923733466,-0.816251707
18,6,108,1944,0.79470117,-1.560034014,-0.981638771,-0.713896888
8,9,72,576,-0.672891019,-1.457128264,-1.046782238,-0.826454278
15,34,510,7650,0.354423514,-0.59958035,-0.254203382,-0.244414093
14,30,420,5880,0.207664295,-0.736788017,-0.417062051,-0.390047557
7,80,560,3920,-0.819650238,0.978307811,-0.163726344,-0.551313992
10,63,630,6300,-0.379372581,0.39517523,-0.03705849,-0.355490464
14,22,308,4312,0.207664295,-1.011203349,-0.619730617,-0.519060705
14,37,518,7252,0.207664295,-0.496674601,-0.239727056,-0.277161053
11,100,1100,12100,-0.232613362,1.664346142,0.813425671,0.121726538
7,74,518,3626,-0.819650238,0.772496312,-0.239727056,-0.575503958
8,52,416,3328,-0.672891019,0.017854148,-0.424300214,-0.600023038
11,51,561,6171,-0.232613362,-0.016447769,-0.161916803,-0.366104428
15,56,840,12600,0.354423514,0.155061814,0.342945071,0.162865935
13,52,676,8788,0.060905076,0.017854148,0.046180385,-0.150780826
9,86,774,6966,-0.5261318,1.18411931,0.22351538,-0.300692787
16,17,272,4352,0.501182733,-1.182712932,-0.684874085,-0.515769554
3,81,243,729,-1.406687113,1.012609728,-0.737350767,-0.813865622
6,47,282,1692,-0.966409456,-0.153655435,-0.666778677,-0.734631144
1,81,81,81,-1.700205551,1.012609728,-1.030496372,-0.86718228
17,71,1207,20519,0.647941951,0.669590562,1.007046533,0.8144317
4,1,4,16,-1.259927894,-1.731543597,-1.169831011,-0.872530402
22,24,528,11616,1.381738046,-0.942599516,-0.221631648,0.081903602
16,6,96,1536,0.501182733,-1.560034014,-1.00335326,-0.747466636
14,62,868,12152,0.207664295,0.360873313,0.393612213,0.126005035
24,90,2160,51840,1.675256484,1.321326977,2.731538884,3.39148579
6,62,372,2232,-0.966409456,0.360873313,-0.503920008,-0.690200596
9,84,756,6804,-0.5261318,1.115515477,0.190943647,-0.314021952
10,32,320,3200,-0.379372581,-0.668184183,-0.598016128,-0.610554724
3,44,132,396,-1.406687113,-0.256561185,-0.938209792,-0.84126446
5,67,335,1675,-1.113168675,0.532382896,-0.570873017,-0.736029884
15,32,480,7200,0.354423514,-0.668184183,-0.308489605,-0.28143955
10,91,910,9100,-0.379372581,1.355628893,0.469612925,-0.125109842
4,95,380,1520,-1.259927894,1.492836559,-0.489443682,-0.748783097
6,13,78,468,-0.966409456,-1.319920598,-1.035924994,-0.835340387
24,31,744,17856,1.675256484,-0.7024861,0.169229157,0.595323273
22,7,154,3388,1.381738046,-1.525732097,-0.898399895,-0.59508631
13,78,1014,13182,0.060905076,0.909703978,0.657805165,0.210752193
19,67,1273,24187,0.941460389,0.532382896,1.126476223,1.116230315
5,11,55,275,-1.113168675,-1.388524431,-1.077544431,-0.851220195
24,98,2352,56448,1.675256484,1.595742309,3.078970711,3.770626471
19,60,1140,21660,0.941460389,0.29226948,0.885807301,0.908311804
3,74,222,666,-1.406687113,0.772496312,-0.775351123,-0.819049186
5,29,145,725,-1.113168675,-0.771089933,-0.914685762,-0.814194737
17,39,663,11271,0.647941951,-0.428070768,0.022656355,0.053517418
23,100,2300,52900,1.528497265,1.664346142,2.984874592,3.478701312
6,97,582,3492,-0.966409456,1.561440392,-0.123916447,-0.586529316
21,93,1953,41013,1.234978827,1.424232726,2.356963945,2.500653294
21,85,1785,37485,1.234978827,1.149817394,2.052961096,2.21037371
8,2,16,128,-0.672891019,-1.69724168,-1.148116521,-0.863315177
7,47,329,2303,-0.819650238,-0.153655435,-0.581730261,-0.684358801
16,14,224,3584,0.501182733,-1.285618681,-0.771732042,-0.578959667
16,17,272,4352,0.501182733,-1.182712932,-0.684874085,-0.515769554
14,25,350,4900,0.207664295,-0.908297599,-0.543729905,-0.470680775
20,20,400,8000,1.088219608,-1.079807182,-0.453252867,-0.215616515
19,95,1805,34295,0.941460389,1.492836559,2.089151912,1.947904359
10,58,580,5800,-0.379372581,0.223665647,-0.127535529,-0.396629861
2,71,142,284,-1.553446332,0.669590562,-0.920114385,-0.850479685
9,72,648,5832,-0.5261318,0.703892479,-0.004486756,-0.393996939
14,46,644,9016,0.207664295,-0.187957352,-0.011724919,-0.132021261
13,96,1248,16224,0.060905076,1.527138476,1.081237704,0.461044282
22,69,1518,33396,1.381738046,0.600986729,1.569813711,1.873935724
2,12,24,48,-1.553446332,-1.354222514,-1.133640195,-0.869897481
8,49,392,3136,-0.672891019,-0.085051602,-0.467729193,-0.615820566
16,70,1120,17920,0.501182733,0.635288645,0.849616486,0.600589116
2,14,28,56,-1.553446332,-1.285618681,-1.126402032,-0.86923925
24,87,2088,50112,1.675256484,1.218421227,2.601251949,3.249308035
5,18,90,450,-1.113168675,-1.148411015,-1.014210505,-0.836821406
17,17,289,4913,0.647941951,-1.182712932,-0.654111892,-0.46961115
11,88,968,10648,-0.232613362,1.252723143,0.574566289,0.00225773
10,94,940,9400,-0.379372581,1.458534643,0.523899148,-0.100426204
5,65,325,1625,-1.113168675,0.463779063,-0.588968424,-0.740143823
8,56,448,3584,-0.672891019,0.155061814,-0.36639491,-0.578959667
6,95,570,3420,-0.966409456,1.492836559,-0.145630936,-0.592453389
18,44,792,14256,0.79470117,-0.256561185,0.256087114,0.299119617
13,35,455,5915,0.060905076,-0.565278434,-0.353728124,-0.387167799
20,41,820,16400,1.088219608,-0.359466934,0.306754256,0.47552535
3,96,288,864,-1.406687113,1.527138476,-0.655921433,-0.802757985
13,19,247,3211,0.060905076,-1.114109099,-0.730112604,-0.609649657
10,96,960,9600,-0.379372581,1.527138476,0.560089963,-0.083970445
18,98,1764,31752,0.79470117,1.595742309,2.01496074,1.738669387
21,89,1869,39249,1.234978827,1.28702506,2.204962521,2.355513502
19,98,1862,35378,0.941460389,1.595742309,2.192295735,2.037012292
16,53,848,13568,0.501182733,0.052156064,0.357421397,0.242511807
21,7,147,3087,1.234978827,-1.525732097,-0.911066681,-0.619852227
19,61,1159,22021,0.941460389,0.326571397,0.920188576,0.938014448
15,37,555,8325,0.354423514,-0.496674601,-0.172774048,-0.188875907
3,48,144,432,-1.406687113,-0.119353519,-0.916495303,-0.838302424
20,1,20,400,1.088219608,-1.731543597,-1.140878358,-0.840935345
17,44,748,12716,0.647941951,-0.256561185,0.17646732,0.172410275
9,9,81,729,-0.5261318,-1.457128264,-1.030496372,-0.813865622
19,28,532,10108,0.941460389,-0.80539185,-0.214393485,-0.042172818
9,1,9,81,-0.5261318,-1.731543597,-1.160783307,-0.86718228
4,45,180,720,-1.259927894,-0.222259268,-0.851351836,-0.814606131
17,100,1700,28900,0.647941951,1.664346142,1.899150131,1.504010268
12,44,528,6336,-0.085854143,-0.256561185,-0.221631648,-0.352528427
17,75,1275,21675,0.647941951,0.806798228,1.130095305,0.909545986
13,41,533,6929,0.060905076,-0.359466934,-0.212583945,-0.303737103
6,9,54,324,-0.966409456,-1.457128264,-1.079353972,-0.847188534
3,29,87,261,-1.406687113,-0.771089933,-1.019639127,-0.852372098
20,93,1860,37200,1.088219608,1.424232726,2.188676654,2.186924254
13,68,884,11492,0.060905076,0.566684812,0.422564865,0.071701032
16,57,912,14592,0.501182733,0.18936373,0.473232006,0.326765292
2,23,46,92,-1.553446332,-0.976901432,-1.093830298,-0.866277214
21,38,798,16758,1.234978827,-0.462372684,0.266944359,0.504981158
7,53,371,2597,-0.819650238,0.052156064,-0.505729549,-0.660168836
13,23,299,3887,0.060905076,-0.976901432,-0.636016484,-0.554029193
15,77,1155,17325,0.354423514,0.875402061,0.912950413,0.551633234
2,77,154,308,-1.553446332,0.875402061,-0.898399895,-0.848504994
15,24,360,5400,0.354423514,-0.942599516,-0.525634497,-0.429541378
7,55,385,2695,-0.819650238,0.120759897,-0.480395978,-0.652105514
19,88,1672,31768,0.941460389,1.252723143,1.84848299,1.739985848
24,73,1752,42048,1.675256484,0.738194395,1.993246251,2.585811845
12,41,492,5904,-0.085854143,-0.359466934,-0.286775116,-0.388072866
13,59,767,9971,0.060905076,0.257967563,0.210848595,-0.053445013
5,87,435,2175,-1.113168675,1.218421227,-0.38991894,-0.694890487
8,52,416,3328,-0.672891019,0.017854148,-0.424300214,-0.600023038
23,84,1932,44436,1.528497265,1.115515477,2.318963589,2.782293604
5,7,35,175,-1.113168675,-1.525732097,-1.113735247,-0.859448074
1,97,97,97,-1.700205551,1.561440392,-1.001543719,-0.86586582
21,98,2058,43218,1.234978827,1.595742309,2.546965726,2.682078033
18,9,162,2916,0.79470117,-1.457128264,-0.883923569,-0.633921901
9,28,252,2268,-0.5261318,-0.80539185,-0.7210649,-0.687238559
22,45,990,21780,1.381738046,-0.222259268,0.614376186,0.918185259
22,31,682,15004,1.381738046,-0.7024861,0.05703763,0.360664154
22,10,220,4840,1.381738046,-1.422826348,-0.778970205,-0.475617502
7,19,133,931,-0.819650238,-1.114109099,-0.936400252,-0.797245306
4,31,124,496,-1.259927894,-0.7024861,-0.952686119,-0.833036581
20,9,180,3600,1.088219608,-1.457128264,-0.851351836,-0.577643206
1,92,92,92,-1.700205551,1.38993081,-1.010591423,-0.866277214
10,19,190,1900,-0.379372581,-1.114109099,-0.833256428,-0.717517155
1,30,30,30,-1.700205551,-0.736788017,-1.122782951,-0.871378499
22,14,308,6776,1.381738046,-1.285618681,-0.619730617,-0.316325758
2,47,94,188,-1.553446332,-0.153655435,-1.006972342,-0.85837845
2,29,58,116,-1.553446332,-0.771089933,-1.072115809,-0.864302523
23,67,1541,35443,1.528497265,0.532382896,1.611433149,2.042360414
22,41,902,19844,1.381738046,-0.359466934,0.455136599,0.758893515
7,8,56,392,-0.819650238,-1.491430181,-1.075734891,-0.841593576
1,37,37,37,-1.700205551,-0.496674601,-1.110116165,-0.870802547
5,64,320,1600,-1.113168675,0.429477146,-0.598016128,-0.742200793
4,12,48,192,-1.259927894,-1.354222514,-1.090211217,-0.858049334
17,40,680,11560,0.647941951,-0.393768851,0.053418548,0.07729599
2,67,134,268,-1.553446332,0.532382896,-0.934590711,-0.851796146
